vessel_id,vessel_name,carrier,vessel_class,cargo_volume_teu,length_m,draft_m,berth_id,cranes_allocated,carrier_reported_eta,actual_arrival_time,departure_time,arrival_speed_knots,wind_speed_knots,tidal_restriction_flag,scheduled_dwell_hours,actual_dwell_hours,delay_minutes,delay_cause,shift_id,eta_bias_hours
IMO9300014,CMA CGM Neo-Panamax 0014,CMA CGM,Neo-Panamax,13976,353.4,14.1,B-01,4,2025-08-26T04:53:36.265008+00:00,2025-08-26T07:30:48.265008+00:00,2025-08-28T06:48:48.265008+00:00,16.2,20.2,0,47.4,47.3,0,NONE,SHIFT_A (06:00-14:00),2.62
IMO9300015,COSCO Panamax 0015,COSCO,Panamax,4734,226.8,10.9,B-07,3,2025-10-17T03:48:10.679811+00:00,2025-10-17T07:37:22.679811+00:00,2025-10-18T11:13:22.679811+00:00,9.6,34.4,1,28.3,27.6,0,NONE,SHIFT_A (06:00-14:00),3.82
IMO9300016,KMTC Panamax 0016,KMTC,Panamax,3308,232.8,10.9,B-07,3,2025-02-13T19:27:24.524080+00:00,2025-02-13T22:32:12.524080+00:00,2025-02-15T08:26:12.524080+00:00,16.6,24.3,0,34.9,33.9,0,NONE,SHIFT_C (22:00-06:00),3.08
IMO9300017,Yang Ming Feeder 0017,Yang Ming,Feeder,1237,140.0,8.2,B-09,2,2024-12-07T21:00:05.517487+00:00,2024-12-07T22:47:29.517487+00:00,2024-12-08T21:05:29.517487+00:00,14.6,13.1,0,22.0,22.3,0,NONE,SHIFT_C (22:00-06:00),1.79
IMO9300018,OOCL Post-Panamax 0018,OOCL,Post-Panamax,6979,307.7,13.1,B-05,3,2025-04-06T19:40:31.191392+00:00,2025-04-06T20:11:43.191392+00:00,2025-04-08T20:41:43.191392+00:00,14.3,5.1,0,47.8,48.5,0,NONE,SHIFT_B (14:00-22:00),0.52
IMO9300019,MSC Panamax 0019,MSC,Panamax,3761,287.3,10.2,B-04,3,2025-07-17T01:19:07.377932+00:00,2025-07-17T03:10:07.377932+00:00,2025-07-18T13:16:07.377932+00:00,13.3,7.1,0,34.0,34.1,0,NONE,SHIFT_C (22:00-06:00),1.85
IMO9300020,Wan Hai Panamax 0020,Wan Hai,Panamax,4286,285.4,10.4,B-05,3,2026-03-11T01:45:12.714768+00:00,2026-03-11T02:46:24.714768+00:00,2026-03-12T09:04:24.714768+00:00,13.3,7.4,0,28.9,30.3,82,YARD_CONGESTION,SHIFT_C (22:00-06:00),1.02
IMO9300021,COSCO Feeder 0021,COSCO,Feeder,1343,134.4,7.5,B-08,2,2024-11-15T16:51:43.182274+00:00,2024-11-15T21:13:19.182274+00:00,2024-11-17T00:13:19.182274+00:00,12.0,12.7,0,20.8,27.0,373,CRANE_OUTAGE,SHIFT_B (14:00-22:00),4.36
IMO9300022,Maersk ULCV 0022,Maersk,ULCV,15697,388.7,15.6,B-01,4,2026-03-11T21:35:14.647314+00:00,2026-03-12T00:34:38.647314+00:00,2026-03-14T20:22:38.647314+00:00,15.3,25.8,0,68.2,67.8,0,NONE,SHIFT_C (22:00-06:00),2.99
IMO9300023,HMM Post-Panamax 0023,HMM,Post-Panamax,6916,325.3,13.0,B-01,4,2025-06-18T19:33:39.953290+00:00,2025-06-18T21:03:39.953290+00:00,2025-06-21T03:57:39.953290+00:00,14.0,11.9,0,55.1,54.9,0,NONE,SHIFT_B (14:00-22:00),1.5
IMO9300024,Maersk Post-Panamax 0024,Maersk,Post-Panamax,7721,305.6,14.4,B-05,3,2026-08-23T06:15:03.766453+00:00,2026-08-23T09:45:03.766453+00:00,2026-08-25T06:27:03.766453+00:00,12.7,12.7,0,45.0,44.7,0,NONE,SHIFT_A (06:00-14:00),3.5
IMO9300025,MSC ULCV 0025,MSC,ULCV,18088,396.6,14.9,B-03,4,2026-07-06T05:20:40.830875+00:00,2026-07-06T08:23:04.830875+00:00,2026-07-09T16:47:04.830875+00:00,10.8,13.4,0,72.1,80.4,499,WEATHER,SHIFT_A (06:00-14:00),3.04
IMO9300026,KMTC Post-Panamax 0026,KMTC,Post-Panamax,9221,301.2,14.0,B-04,3,2025-02-17T23:23:18.798378+00:00,2025-02-18T02:41:18.798378+00:00,2025-02-20T00:17:18.798378+00:00,15.0,24.6,0,43.2,45.6,145,WEATHER,SHIFT_C (22:00-06:00),3.3
IMO9300027,MSC Handymax 0027,MSC,Handymax,2942,214.3,9.1,B-08,2,2026-02-10T14:20:56.533446+00:00,2026-02-10T17:04:44.533446+00:00,2026-02-12T02:04:44.533446+00:00,13.3,3.3,0,24.9,33.0,485,WEATHER,SHIFT_B (14:00-22:00),2.73
IMO9300028,X-Press Feeders Handymax 0028,X-Press Feeders,Handymax,2678,207.2,10.6,B-06,3,2026-06-27T04:39:48.827883+00:00,2026-06-27T07:47:00.827883+00:00,2026-06-28T14:29:00.827883+00:00,13.8,31.9,1,30.4,30.7,0,NONE,SHIFT_A (06:00-14:00),3.12
IMO9300029,COSCO Handymax 0029,COSCO,Handymax,2521,195.4,9.9,B-06,3,2025-04-26T05:04:50.350883+00:00,2025-04-26T10:36:02.350883+00:00,2025-04-27T13:48:02.350883+00:00,14.5,16.0,0,23.1,27.2,246,CRANE_OUTAGE,SHIFT_A (06:00-14:00),5.52
IMO9300030,Wan Hai Panamax 0030,Wan Hai,Panamax,3510,263.6,11.3,B-06,3,2025-09-18T07:23:36.724525+00:00,2025-09-18T07:23:36.724525+00:00,2025-09-19T19:29:36.724525+00:00,13.2,18.8,0,36.8,36.1,0,NONE,SHIFT_A (06:00-14:00),0.0
IMO9300031,X-Press Feeders Post-Panamax 0031,X-Press Feeders,Post-Panamax,8965,333.9,14.3,B-04,3,2025-08-19T22:36:18.496239+00:00,2025-08-20T00:26:42.496239+00:00,2025-08-21T16:56:42.496239+00:00,14.5,13.9,0,40.7,40.5,0,NONE,SHIFT_C (22:00-06:00),1.84
IMO9300032,OOCL Feeder 0032,OOCL,Feeder,2307,177.6,9.4,B-08,2,2025-06-01T03:21:00.970699+00:00,2025-06-01T03:57:00.970699+00:00,2025-06-01T20:27:00.970699+00:00,13.2,10.9,0,15.8,16.5,0,NONE,SHIFT_C (22:00-06:00),0.6
IMO9300033,ZIM Feeder 0033,ZIM,Feeder,850,143.5,7.5,B-08,2,2026-03-26T00:26:37.979255+00:00,2026-03-26T00:26:37.979255+00:00,2026-03-26T16:32:37.979255+00:00,15.0,5.6,0,15.8,16.1,0,NONE,SHIFT_C (22:00-06:00),0.0
IMO9300034,Yang Ming Panamax 0034,Yang Ming,Panamax,3436,230.3,11.4,B-07,3,2026-04-13T17:26:10.261667+00:00,2026-04-13T20:07:34.261667+00:00,2026-04-15T01:07:34.261667+00:00,13.8,22.5,0,28.3,29.0,0,NONE,SHIFT_B (14:00-22:00),2.69
IMO9300035,Hapag-Lloyd Feeder 0035,Hapag-Lloyd,Feeder,1944,178.1,8.7,B-10,2,2026-02-01T21:17:01.697135+00:00,2026-02-01T22:15:49.697135+00:00,2026-02-02T23:09:49.697135+00:00,12.6,22.8,0,20.3,24.9,273,YARD_CONGESTION,SHIFT_C (22:00-06:00),0.98
IMO9300036,OOCL Neo-Panamax 0036,OOCL,Neo-Panamax,12271,351.7,15.0,B-03,4,2025-10-04T12:21:49.116607+00:00,2025-10-04T13:00:13.116607+00:00,2025-10-06T13:54:13.116607+00:00,14.2,10.0,0,48.3,48.9,0,NONE,SHIFT_A (06:00-14:00),0.64
IMO9300037,Hapag-Lloyd Feeder 0037,Hapag-Lloyd,Feeder,2246,143.9,8.7,B-08,2,2026-08-02T23:16:52.104519+00:00,2026-08-02T23:20:28.104519+00:00,2026-08-03T19:20:28.104519+00:00,15.7,13.6,0,19.1,20.0,55,YARD_CONGESTION,SHIFT_C (22:00-06:00),0.06
IMO9300038,X-Press Feeders Neo-Panamax 0038,X-Press Feeders,Neo-Panamax,12446,352.4,15.4,B-02,4,2025-01-12T03:02:44.605839+00:00,2025-01-12T05:03:20.605839+00:00,2025-01-14T13:21:20.605839+00:00,11.9,30.0,1,56.2,56.3,0,NONE,SHIFT_C (22:00-06:00),2.01
IMO9300039,Yang Ming Feeder 0039,Yang Ming,Feeder,1596,146.4,8.2,B-09,2,2025-05-24T22:16:30.912077+00:00,2025-05-25T00:38:42.912077+00:00,2025-05-26T01:14:42.912077+00:00,11.7,23.7,0,24.0,24.6,0,NONE,SHIFT_C (22:00-06:00),2.37
IMO9300040,Maersk Panamax 0040,Maersk,Panamax,4891,225.9,10.9,B-05,3,2026-08-13T00:04:11.579483+00:00,2026-08-13T00:04:11.579483+00:00,2026-08-14T15:16:11.579483+00:00,14.9,12.9,0,35.0,39.2,254,CRANE_OUTAGE,SHIFT_C (22:00-06:00),0.0
IMO9300041,KMTC Handymax 0041,KMTC,Handymax,2039,190.1,8.7,B-06,3,2024-09-28T17:58:35.585668+00:00,2024-09-28T18:31:35.585668+00:00,2024-09-29T18:19:35.585668+00:00,16.6,21.8,0,21.3,23.8,147,YARD_CONGESTION,SHIFT_B (14:00-22:00),0.55
IMO9300042,Hapag-Lloyd Neo-Panamax 0042,Hapag-Lloyd,Neo-Panamax,10937,346.2,14.4,B-03,4,2024-11-05T06:31:00.028683+00:00,2024-11-05T06:31:00.028683+00:00,2024-11-07T16:13:00.028683+00:00,14.4,14.5,0,57.0,57.7,0,NONE,SHIFT_A (06:00-14:00),0.0
IMO9300043,Evergreen Post-Panamax 0043,Evergreen,Post-Panamax,6710,348.2,12.7,B-03,4,2025-07-30T21:31:37.300965+00:00,2025-07-31T00:06:25.300965+00:00,2025-08-02T04:06:25.300965+00:00,13.5,28.9,1,48.4,52.0,214,WEATHER,SHIFT_C (22:00-06:00),2.58
IMO9300044,ZIM Feeder 0044,ZIM,Feeder,1047,181.0,8.5,B-10,2,2025-03-04T01:50:15.983913+00:00,2025-03-04T05:40:03.983913+00:00,2025-03-05T00:40:03.983913+00:00,12.9,12.2,0,19.4,19.0,0,NONE,SHIFT_C (22:00-06:00),3.83
IMO9300045,OOCL Neo-Panamax 0045,OOCL,Neo-Panamax,13766,342.7,15.4,B-03,4,2026-05-31T02:32:01.578187+00:00,2026-05-31T04:22:25.578187+00:00,2026-06-02T16:46:25.578187+00:00,16.5,18.4,0,59.9,60.4,0,NONE,SHIFT_C (22:00-06:00),1.84
IMO9300046,Wan Hai Panamax 0046,Wan Hai,Panamax,3354,279.6,11.7,B-06,3,2024-12-22T20:22:39.536081+00:00,2024-12-22T21:00:27.536081+00:00,2024-12-24T05:12:27.536081+00:00,12.1,10.1,0,33.1,32.2,0,NONE,SHIFT_B (14:00-22:00),0.63
IMO9300047,Evergreen Neo-Panamax 0047,Evergreen,Neo-Panamax,12116,352.7,14.2,B-02,4,2026-02-28T23:14:31.786218+00:00,2026-02-28T23:14:31.786218+00:00,2026-03-02T23:32:31.786218+00:00,12.4,16.4,0,48.6,48.3,0,NONE,SHIFT_C (22:00-06:00),0.0
IMO9300048,Yang Ming Panamax 0048,Yang Ming,Panamax,5010,268.3,11.3,B-07,3,2025-02-24T16:01:12.602505+00:00,2025-02-24T17:40:48.602505+00:00,2025-02-26T06:58:48.602505+00:00,15.0,6.3,0,37.3,37.3,0,NONE,SHIFT_B (14:00-22:00),1.66
IMO9300049,PIL Panamax 0049,PIL,Panamax,4354,249.8,11.5,B-06,3,2025-04-30T11:29:08.853387+00:00,2025-04-30T13:15:56.853387+00:00,2025-05-01T22:15:56.853387+00:00,15.9,7.1,0,32.6,33.0,0,NONE,SHIFT_A (06:00-14:00),1.78
IMO9300050,ONE Feeder 0050,ONE,Feeder,2007,174.3,7.7,B-10,2,2025-07-15T19:00:08.737578+00:00,2025-07-15T22:45:08.737578+00:00,2025-07-16T17:45:08.737578+00:00,12.3,33.6,1,16.9,19.0,124,CRANE_OUTAGE,SHIFT_C (22:00-06:00),3.75
IMO9300051,MSC Handymax 0051,MSC,Handymax,2258,202.1,10.2,B-09,2,2026-07-06T08:54:05.218345+00:00,2026-07-06T12:39:05.218345+00:00,2026-07-07T09:21:05.218345+00:00,14.6,14.8,0,20.1,20.7,0,NONE,SHIFT_A (06:00-14:00),3.75
IMO9300052,CMA CGM Feeder 0052,CMA CGM,Feeder,2089,154.0,7.2,B-10,2,2026-08-10T14:39:48.381797+00:00,2026-08-10T19:24:48.381797+00:00,2026-08-11T18:12:48.381797+00:00,13.1,7.9,0,17.8,22.8,301,TIDAL_WINDOW_MISSED,SHIFT_B (14:00-22:00),4.75
IMO9300053,KMTC Panamax 0053,KMTC,Panamax,3924,262.4,11.6,B-07,3,2025-10-29T00:54:04.156461+00:00,2025-10-29T03:27:04.156461+00:00,2025-10-30T09:33:04.156461+00:00,13.0,36.0,1,27.6,30.1,151,YARD_CONGESTION,SHIFT_C (22:00-06:00),2.55
IMO9300054,HMM Panamax 0054,HMM,Panamax,3711,266.2,10.3,B-04,3,2026-05-28T13:22:47.030877+00:00,2026-05-28T13:37:47.030877+00:00,2026-05-29T17:25:47.030877+00:00,13.7,13.4,0,28.3,27.8,0,NONE,SHIFT_A (06:00-14:00),0.25
IMO9300055,SITC Handymax 0055,SITC,Handymax,2541,182.8,9.1,B-07,3,2025-11-16T07:05:06.963302+00:00,2025-11-16T07:05:06.963302+00:00,2025-11-17T07:11:06.963302+00:00,13.8,26.7,0,24.5,24.1,0,NONE,SHIFT_A (06:00-14:00),0.0
IMO9300056,ZIM Post-Panamax 0056,ZIM,Post-Panamax,8991,322.0,13.4,B-04,3,2024-11-08T22:15:05.792772+00:00,2024-11-08T23:49:17.792772+00:00,2024-11-10T22:13:17.792772+00:00,13.8,15.2,0,46.6,46.4,0,NONE,SHIFT_C (22:00-06:00),1.57
IMO9300057,HMM Handymax 0057,HMM,Handymax,3380,181.0,9.1,B-06,3,2024-09-28T23:46:06.382674+00:00,2024-09-29T00:43:42.382674+00:00,2024-09-30T04:13:42.382674+00:00,13.2,4.2,0,24.1,27.5,202,CRANE_OUTAGE,SHIFT_C (22:00-06:00),0.96
IMO9300058,KMTC Feeder 0058,KMTC,Feeder,986,168.1,8.2,B-09,2,2026-01-10T19:47:36.291031+00:00,2026-01-10T20:03:48.291031+00:00,2026-01-11T10:51:48.291031+00:00,12.8,11.9,0,14.6,14.8,0,NONE,SHIFT_B (14:00-22:00),0.27
IMO9300059,X-Press Feeders Handymax 0059,X-Press Feeders,Handymax,2931,212.5,9.9,B-06,3,2026-02-03T21:18:09.591325+00:00,2026-02-03T21:20:33.591325+00:00,2026-02-04T18:44:33.591325+00:00,18.8,13.3,0,15.8,21.4,337,CRANE_OUTAGE,SHIFT_B (14:00-22:00),0.04
IMO9300060,MSC Panamax 0060,MSC,Panamax,5041,233.1,10.7,B-07,3,2025-03-20T08:52:06.087251+00:00,2025-03-20T10:49:06.087251+00:00,2025-03-21T16:43:06.087251+00:00,10.6,9.2,0,29.6,29.9,0,NONE,SHIFT_A (06:00-14:00),1.95
IMO9300061,Yang Ming Feeder 0061,Yang Ming,Feeder,828,172.6,7.8,B-10,2,2025-11-28T15:12:06.286138+00:00,2025-11-28T17:20:30.286138+00:00,2025-11-29T15:38:30.286138+00:00,17.9,6.9,0,21.6,22.3,0,NONE,SHIFT_B (14:00-22:00),2.14
IMO9300062,HMM Handymax 0062,HMM,Handymax,2967,196.6,9.7,B-07,3,2025-10-24T12:35:46.043267+00:00,2025-10-24T13:26:46.043267+00:00,2025-10-25T19:02:46.043267+00:00,15.4,7.7,0,27.5,29.6,129,CRANE_OUTAGE,SHIFT_A (06:00-14:00),0.85
IMO9300063,HMM Neo-Panamax 0063,HMM,Neo-Panamax,12784,360.1,15.2,B-03,4,2026-03-09T22:50:50.598355+00:00,2026-03-10T01:53:14.598355+00:00,2026-03-12T00:11:14.598355+00:00,14.5,23.6,0,46.4,46.3,0,NONE,SHIFT_C (22:00-06:00),3.04
IMO9300064,X-Press Feeders Handymax 0064,X-Press Feeders,Handymax,2386,198.2,9.3,B-07,3,2025-08-02T18:34:59.708914+00:00,2025-08-02T18:34:59.708914+00:00,2025-08-03T21:58:59.708914+00:00,14.6,9.9,0,23.2,27.4,255,CRANE_OUTAGE,SHIFT_B (14:00-22:00),0.0
IMO9300065,Hapag-Lloyd Handymax 0065,Hapag-Lloyd,Handymax,3028,199.8,8.6,B-08,2,2024-12-31T10:23:59.723278+00:00,2024-12-31T11:59:23.723278+00:00,2025-01-01T07:59:23.723278+00:00,13.1,15.8,0,19.8,20.0,0,NONE,SHIFT_A (06:00-14:00),1.59
IMO9300066,OOCL Feeder 0066,OOCL,Feeder,2076,176.9,7.7,B-10,2,2025-12-06T04:38:34.430683+00:00,2025-12-06T06:22:22.430683+00:00,2025-12-07T04:34:22.430683+00:00,13.2,5.8,0,21.5,22.2,0,NONE,SHIFT_A (06:00-14:00),1.73
IMO9300067,OOCL Panamax 0067,OOCL,Panamax,3280,281.1,10.1,B-05,3,2025-06-21T01:29:47.382812+00:00,2025-06-21T05:50:11.382812+00:00,2025-06-22T12:56:11.382812+00:00,11.5,20.8,0,30.5,31.1,0,NONE,SHIFT_C (22:00-06:00),4.34
IMO9300068,ZIM Panamax 0068,ZIM,Panamax,3229,283.2,10.1,B-06,3,2026-01-03T06:26:23.781943+00:00,2026-01-03T08:44:59.781943+00:00,2026-01-04T22:50:59.781943+00:00,14.6,13.9,0,35.6,38.1,152,CRANE_OUTAGE,SHIFT_A (06:00-14:00),2.31
IMO9300069,CMA CGM Feeder 0069,CMA CGM,Feeder,2199,166.6,8.0,B-08,2,2025-09-25T02:40:00.553374+00:00,2025-09-25T03:37:00.553374+00:00,2025-09-25T23:37:00.553374+00:00,13.8,18.1,0,15.3,20.0,283,YARD_CONGESTION,SHIFT_C (22:00-06:00),0.95
IMO9300070,Evergreen Neo-Panamax 0070,Evergreen,Neo-Panamax,14813,341.9,15.4,B-02,4,2025-06-15T11:11:29.118907+00:00,2025-06-15T13:14:29.118907+00:00,2025-06-17T14:14:29.118907+00:00,15.2,13.7,0,49.1,49.0,0,NONE,SHIFT_A (06:00-14:00),2.05
IMO9300071,PIL Feeder 0071,PIL,Feeder,1404,164.5,9.5,B-08,2,2024-10-14T13:14:22.468553+00:00,2024-10-14T14:35:22.468553+00:00,2024-10-15T07:41:22.468553+00:00,13.3,16.6,0,17.0,17.1,0,NONE,SHIFT_B (14:00-22:00),1.35
IMO9300072,ZIM Panamax 0072,ZIM,Panamax,4443,274.3,10.5,B-05,3,2025-06-17T03:16:02.700716+00:00,2025-06-17T03:16:02.700716+00:00,2025-06-18T08:28:02.700716+00:00,13.2,17.8,0,27.0,29.2,130,CRANE_OUTAGE,SHIFT_C (22:00-06:00),0.0
IMO9300073,MSC Panamax 0073,MSC,Panamax,4494,241.6,10.9,B-05,3,2026-07-15T07:57:42.486788+00:00,2026-07-15T09:35:30.486788+00:00,2026-07-16T23:29:30.486788+00:00,17.4,8.5,0,34.9,37.9,180,PILOT_UNAVAILABLE,SHIFT_A (06:00-14:00),1.63
IMO9300074,HMM Panamax 0074,HMM,Panamax,4973,278.1,10.5,B-06,3,2025-03-30T00:47:53.037922+00:00,2025-03-30T03:07:05.037922+00:00,2025-03-31T17:43:05.037922+00:00,18.0,12.0,0,37.9,38.6,0,NONE,SHIFT_C (22:00-06:00),2.32
IMO9300075,X-Press Feeders Neo-Panamax 0075,X-Press Feeders,Neo-Panamax,12996,365.1,15.1,B-01,4,2025-02-26T06:53:19.322439+00:00,2025-02-26T09:05:55.322439+00:00,2025-02-28T14:29:55.322439+00:00,14.7,14.3,0,48.7,53.4,280,WEATHER,SHIFT_A (06:00-14:00),2.21
IMO9300076,Yang Ming Feeder 0076,Yang Ming,Feeder,1949,158.3,8.5,B-09,2,2024-11-28T15:44:45.247540+00:00,2024-11-28T15:58:33.247540+00:00,2024-11-29T15:22:33.247540+00:00,17.6,9.6,0,20.1,23.4,199,YARD_CONGESTION,SHIFT_B (14:00-22:00),0.23
IMO9300077,COSCO Panamax 0077,COSCO,Panamax,4246,229.8,11.9,B-07,3,2026-06-26T15:12:59.303197+00:00,2026-06-26T17:29:47.303197+00:00,2026-06-28T01:11:47.303197+00:00,16.7,13.0,0,26.1,31.7,336,CRANE_OUTAGE,SHIFT_B (14:00-22:00),2.28
IMO9300078,Hapag-Lloyd Panamax 0078,Hapag-Lloyd,Panamax,5004,282.0,11.3,B-07,3,2024-11-11T12:48:59.743901+00:00,2024-11-11T15:15:59.743901+00:00,2024-11-12T20:21:59.743901+00:00,14.0,10.8,0,29.7,29.1,0,NONE,SHIFT_B (14:00-22:00),2.45
IMO9300079,PIL Handymax 0079,PIL,Handymax,2734,201.8,10.9,B-06,3,2025-12-05T17:18:34.500102+00:00,2025-12-05T19:26:58.500102+00:00,2025-12-06T15:38:58.500102+00:00,15.4,24.0,0,20.1,20.2,0,NONE,SHIFT_B (14:00-22:00),2.14
IMO9300080,Wan Hai Feeder 0080,Wan Hai,Feeder,1956,144.6,7.3,B-08,2,2026-07-30T19:37:29.335081+00:00,2026-07-30T21:38:05.335081+00:00,2026-07-31T21:56:05.335081+00:00,14.8,21.3,0,20.0,24.3,258,WEATHER,SHIFT_B (14:00-22:00),2.01
IMO9300081,Maersk Post-Panamax 0081,Maersk,Post-Panamax,7564,313.9,14.5,B-05,3,2026-03-21T20:05:17.754613+00:00,2026-03-21T22:04:41.754613+00:00,2026-03-24T04:04:41.754613+00:00,16.9,3.4,0,54.4,54.0,0,NONE,SHIFT_C (22:00-06:00),1.99
IMO9300082,MSC Feeder 0082,MSC,Feeder,1032,137.6,8.1,B-10,2,2026-08-03T10:51:53.033568+00:00,2026-08-03T13:32:05.033568+00:00,2026-08-04T09:44:05.033568+00:00,12.9,14.2,0,20.8,20.2,0,NONE,SHIFT_A (06:00-14:00),2.67
IMO9300083,ZIM Panamax 0083,ZIM,Panamax,3249,252.1,11.9,B-07,3,2025-01-16T13:14:01.287094+00:00,2025-01-16T14:41:01.287094+00:00,2025-01-17T14:59:01.287094+00:00,14.9,19.9,0,25.0,24.3,0,NONE,SHIFT_B (14:00-22:00),1.45
IMO9300084,Wan Hai Feeder 0084,Wan Hai,Feeder,1403,152.9,8.5,B-09,2,2025-09-19T10:31:44.328190+00:00,2025-09-19T12:53:56.328190+00:00,2025-09-20T11:59:56.328190+00:00,14.7,13.9,0,17.4,23.1,342,CRANE_OUTAGE,SHIFT_A (06:00-14:00),2.37
IMO9300085,ONE Post-Panamax 0085,ONE,Post-Panamax,9889,321.5,14.3,B-03,4,2025-01-30T20:30:35.138770+00:00,2025-01-30T20:30:35.138770+00:00,2025-02-01T20:30:35.138770+00:00,16.2,11.5,0,45.2,48.0,166,PILOT_UNAVAILABLE,SHIFT_B (14:00-22:00),0.0
IMO9300086,CMA CGM Feeder 0086,CMA CGM,Feeder,2313,135.6,7.2,B-09,2,2025-02-11T02:45:10.497965+00:00,2025-02-11T05:30:46.497965+00:00,2025-02-11T21:42:46.497965+00:00,12.5,16.4,0,17.0,16.2,0,NONE,SHIFT_C (22:00-06:00),2.76
IMO9300087,KMTC Handymax 0087,KMTC,Handymax,2589,214.7,10.3,B-08,2,2026-01-08T04:09:30.959000+00:00,2026-01-08T04:56:54.959000+00:00,2026-01-09T09:44:54.959000+00:00,13.9,18.6,0,24.2,28.8,278,WEATHER,SHIFT_C (22:00-06:00),0.79
